Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1369,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,ADDRESS,Q1,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,ADDRESS,Q1,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,Q8_1,Q8_2_1,Q8_2_2,Q8_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,ADDRESS,Q1,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,Q8_1,Q8_2_1,Q8_2_2,Q8_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,ADDRESS,Q1,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,Q8_1,Q8_2_1,Q8_2_2,Q8_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,ADDRESS,Q1,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q6_01,Q6_02,Q6_03,Q6_04,Q6_05,Q6_06,Q6_07,Q6_08,Q6_09,Q6_10,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,ADDRESS,Q1,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q6_01,Q6_02,Q6_03,Q6_04,Q6_05,Q6_06,Q6_07,Q6_08,Q6_09,Q6_10,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,
1383,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,,,,,,,,,,,,,,,,,,,,,,,,,
1384,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,,,,,,,,,
1385,ADDRESS,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,,,,,,
1386,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,,,,
1387,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,,,
1388,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,,,
1389,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,DYCOL59,,
1390,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,DYCOL59,,
1391,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61
1392,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61
1393,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61
1394,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61
1395,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61
1396,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,
1397,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,
1398,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,
1399,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,
1400,Address,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,
1401,Address,DYCOL001,DYCOL002,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL42_14,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,
